NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
RIO BRANCO;AC;;;26;1;;C;4;A;A;15;4;4;1;0;1;
RIO BRANCO;AC;;;29;1;;C;3;A;A;18;5;5;5;3;3;
RIO BRANCO;AC;;;27;3;;E;4;E;E;19;0;5;5;5;5;
CRUZEIRO DO SUL;AC;;;18;3;;C;7;A;B;;;;;;;
RIO BRANCO;AC;;;30;1;;C;4;A;C;20;5;5;5;5;5;
CRUZEIRO DO SUL;AC;;;21;1;;E;5;A;A;19;0;0;5;5;0;
RIO BRANCO;AC;;;27;1;;C;5;E;A;16;3;1;5;4;3;
RIO BRANCO;AC;;;35;1;;K;5;A;A;18;0;5;4;4;5;
RIO BRANCO;AC;;;21;1;;B;2;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;23;1;;B;5;A;A;16;5;5;5;5;5;
RIO BRANCO;AC;;;24;1;;D;5;A;A;23;5;1;4;5;4;
RIO BRANCO;AC;;;20;1;;B;5;A;A;19;5;0;5;5;0;
CRUZEIRO DO SUL;AC;CRUZEIRO DO SUL;AC;17;2;1;A;5;A;A;;;;;;;
RIO BRANCO;AC;;;44;1;;K;6;A;A;18;2;5;2;5;5;
CRUZEIRO DO SUL;AC;;;21;1;;B;9;A;A;19;5;0;2;5;2;
RIO BRANCO;AC;;;35;1;;C;4;A;B;25;5;4;2;3;5;
MANCIO LIMA;AC;;;30;1;;B;4;A;E;14;5;5;4;5;5;
RIO BRANCO;AC;;;26;1;;B;3;A;A;17;4;5;5;5;5;
RIO BRANCO;AC;;;22;1;;B;3;A;A;17;5;5;5;5;5;
ACRELANDIA;AC;;;17;3;;C;4;A;A;;;;;;;
SENA MADUREIRA;AC;;;18;1;;E;4;A;A;;;;;;;
RIO BRANCO;AC;;;20;1;;B;4;A;A;;;;;;;
RIO BRANCO;AC;;;18;1;;B;5;A;A;17;4;1;5;5;5;
RIO BRANCO;AC;;;20;1;;E;5;A;A;;;;;;;
RIO BRANCO;AC;;;31;1;;C;4;A;A;13;5;5;5;3;5;
TARAUACA;AC;;;23;1;;B;7;A;B;14;3;4;5;5;5;
FEIJO;AC;FEIJO;AC;19;2;1;B;3;A;A;;;;;;;
RIO BRANCO;AC;;;39;1;;E;4;A;A;19;3;5;5;3;5;
PLACIDO DE CASTRO;AC;;;21;1;;G;6;A;A;20;5;5;4;4;5;
SENADOR GUIOMARD;AC;;;34;1;;F;4;A;A;;;;;;;
RIO BRANCO;AC;;;22;1;;C;3;A;B;;;;;;;
RIO BRANCO;AC;;;28;1;;G;4;A;A;22;3;0;5;5;5;
CRUZEIRO DO SUL;AC;;;16;3;;C;6;A;A;;;;;;;
FEIJO;AC;;;18;1;;B;6;A;A;;;;;;;
RIO BRANCO;AC;;;18;3;;G;4;A;A;;;;;;;
RIO BRANCO;AC;;;17;1;;C;4;A;A;;;;;;;
RIO BRANCO;AC;;;18;1;;C;4;A;A;17;5;5;5;5;5;
RIO BRANCO;AC;;;22;4;;C;4;A;A;18;5;2;3;3;1;
RIO BRANCO;AC;;;22;1;;C;2;A;A;19;5;5;5;5;5;
RIO BRANCO;AC;;;24;1;;C;2;A;A;;;;;;;
XAPURI;AC;XAPURI;AC;27;2;1;C;5;B;B;14;1;2;4;3;1;
RIO BRANCO;AC;;;42;1;;B;5;A;A;20;5;5;5;5;5;
RIO BRANCO;AC;;;23;1;;B;2;A;A;14;5;0;5;5;5;
MANCIO LIMA;AC;;;27;1;;B;5;A;A;24;5;5;5;5;5;
ASSIS BRASIL;AC;;;20;1;;M;4;A;A;;;;;;;
RIO BRANCO;AC;;;26;1;;C;3;B;A;23;5;5;5;5;5;
RIO BRANCO;AC;;;30;1;;C;5;A;A;22;4;5;5;3;5;
RIO BRANCO;AC;;;25;1;;C;4;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;32;1;;C;5;C;A;16;5;5;5;5;5;
RIO BRANCO;AC;;;20;3;;B;5;A;B;19;5;5;5;5;5;
RIO BRANCO;AC;;;18;1;;B;4;A;A;;;;;;;
PORTO ACRE;AC;PORTO ACRE;AC;19;2;1;B;3;A;A;;;;;;;
RIO BRANCO;AC;;;33;1;;B;3;E;E;13;0;5;5;5;3;
RIO BRANCO;AC;;;19;1;;B;3;A;A;;;;;;;
FEIJO;AC;FEIJO;AC;18;2;1;C;4;A;A;14;5;1;5;2;0;
RIO BRANCO;AC;RIO BRANCO;AC;17;2;1;B;4;A;A;15;5;0;5;5;0;
RIO BRANCO;AC;;;22;1;;E;8;A;A;20;5;5;5;5;5;
RIO BRANCO;AC;;;16;3;;B;4;A;A;;;;;;;
RIO BRANCO;AC;;;24;1;;A;4;B;A;14;0;5;5;5;5;
RIO BRANCO;AC;;;55;1;;A;5;A;E;25;5;5;5;5;5;
TARAUACA;AC;;;26;1;;B;3;B;B;18;2;5;3;0;2;
RIO BRANCO;AC;;;37;3;;B;3;E;E;17;5;5;5;5;5;
RIO BRANCO;AC;RIO BRANCO;AC;19;2;1;B;5;A;A;;;;;;;
TARAUACA;AC;;;21;1;;B;6;A;A;17;5;4;5;5;4;
RIO BRANCO;AC;;;33;1;;G;4;B;B;19;0;5;5;5;5;
RIO BRANCO;AC;;;23;1;;B;7;A;A;;;;;;;
RIO BRANCO;AC;;;25;1;;C;2;A;B;18;0;5;5;5;5;
RIO BRANCO;AC;;;17;3;;B;4;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;19;2;1;C;4;A;A;17;5;3;5;5;4;
RIO BRANCO;AC;RIO BRANCO;AC;23;2;2;B;3;A;C;18;5;5;5;5;5;
RIO BRANCO;AC;;;26;1;;B;3;A;A;13;2;3;5;5;4;
XAPURI;AC;;;19;1;;D;3;A;A;18;4;1;5;5;4;
RIO BRANCO;AC;RIO BRANCO;AC;24;2;1;L;5;A;E;18;5;5;5;5;5;
RIO BRANCO;AC;;;23;1;;N;4;A;A;17;2;5;5;5;5;
SENADOR GUIOMARD;AC;SENADOR GUIOMARD;AC;17;2;1;F;6;A;A;;;;;;;
EPITACIOLANDIA;AC;;;32;1;;B;8;B;A;;;;;;;
ASSIS BRASIL;AC;;;21;1;;B;3;A;A;17;5;5;5;5;5;
RIO BRANCO;AC;;;16;3;;F;4;A;A;;;;;;;
RIO BRANCO;AC;;;21;1;;D;3;A;A;16;5;5;5;5;5;
RIO BRANCO;AC;;;41;1;;C;4;A;A;18;5;5;5;5;5;
RIO BRANCO;AC;;;16;3;;B;4;A;A;;;;;;;
RIO BRANCO;AC;;;36;4;;B;3;E;E;17;5;5;5;5;5;
RIO BRANCO;AC;;;24;4;;C;5;A;E;22;5;5;5;5;5;
RIO BRANCO;AC;;;19;1;;C;4;A;A;15;5;3;5;5;3;
RIO BRANCO;AC;;;32;1;;C;9;A;A;18;5;5;5;5;5;
