NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
PORTO GRANDE;AP;PORTO GRANDE;AP;17;2;1;B;7;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;19;2;1;A;6;A;A;;;;;;;
SANTANA;AP;;;19;1;;B;2;A;A;;;;;;;
LARANJAL DO JARI;AP;;;19;1;;C;8;A;A;14;5;5;5;5;5;
MACAPA;AP;MAZAGAO;AP;25;2;2;B;7;A;A;;;;;;;
SANTANA;AP;;;19;4;;B;9;A;A;;;;;;;
MACAPA;AP;;;18;3;;C;4;B;A;;;;;;;
MACAPA;AP;;;27;1;;B;2;A;A;19;2;0;5;2;3;
MACAPA;AP;;;30;1;;C;6;A;A;18;5;5;4;5;5;
MAZAGAO;AP;;;19;4;;G;3;B;C;;;;;;;
MACAPA;AP;;;21;1;;C;1;A;A;16;5;0;5;5;5;
MACAPA;AP;;;22;1;;B;5;A;A;17;2;5;5;3;5;
MACAPA;AP;MACAPA;AP;16;2;1;C;4;A;A;;;;;;;
MACAPA;AP;;;18;1;;K;4;A;A;;;;;;;
MACAPA;AP;;;24;1;;G;2;A;A;;;;;;;
MACAPA;AP;;;20;3;;C;15;D;A;16;4;3;5;5;2;
MACAPA;AP;MACAPA;AP;18;2;2;K;7;A;A;;;;;;;
PEDRA BRANCA DO AMAPARI;AP;PEDRA BRANCA DO AMAPARI;AP;17;2;1;C;5;A;A;;;;;;;
SANTANA;AP;;;17;3;;H;5;A;A;;;;;;;
OIAPOQUE;AP;;;34;1;;C;3;A;A;14;5;5;5;5;5;
CUTIAS;AP;;;24;3;;B;10;A;C;19;5;4;5;4;5;
MACAPA;AP;;;16;3;;Q;4;A;A;;;;;;;
LARANJAL DO JARI;AP;;;23;1;;E;6;A;A;18;5;0;5;5;5;
MACAPA;AP;;;32;1;;C;5;E;A;;;;;;;
MACAPA;AP;;;33;1;;C;4;A;A;23;2;5;5;5;5;
SANTANA;AP;;;22;1;;B;7;A;A;;;;;;;
FERREIRA GOMES;AP;;;41;1;;B;4;A;E;17;0;3;5;5;1;
SANTANA;AP;;;16;3;;E;5;A;A;14;4;5;5;3;4;
MACAPA;AP;;;26;1;;D;9;A;A;18;5;5;1;1;5;
MACAPA;AP;;;31;1;;C;4;A;A;18;5;4;4;1;3;
MACAPA;AP;;;27;1;;K;5;A;A;19;2;0;3;3;5;
MACAPA;AP;;;18;1;;B;4;A;A;17;5;0;4;5;5;
MACAPA;AP;;;16;3;;H;8;A;A;;;;;;;
MACAPA;AP;;;17;3;;B;7;A;A;;;;;;;
SANTANA;AP;;;18;1;;C;5;A;A;;;;;;;
MACAPA;AP;;;20;1;;B;4;A;A;18;5;0;5;5;4;
MACAPA;AP;;;30;1;;G;3;A;A;21;5;5;5;5;5;
LARANJAL DO JARI;AP;ALMEIRIM;PA;18;2;1;C;7;A;A;;;;;;;
MACAPA;AP;;;19;1;;B;10;A;A;;;;;;;
MACAPA;AP;;;33;1;;E;3;A;A;;;;;;;
MACAPA;AP;;;18;1;;B;5;A;A;;;;;;;
LARANJAL DO JARI;AP;;;37;1;;H;5;A;A;18;5;5;5;5;5;
MACAPA;AP;;;20;4;;B;13;C;C;;;;;;;
SANTANA;AP;;;41;1;;C;3;A;B;15;3;4;5;5;4;
MACAPA;AP;;;26;1;;C;11;A;A;14;5;0;5;5;5;
MACAPA;AP;;;35;1;;B;4;E;A;25;3;5;5;5;1;
MACAPA;AP;;;37;1;;C;9;A;A;14;5;5;5;5;5;
SANTANA;AP;;;23;1;;B;5;A;A;18;5;0;5;5;5;
MACAPA;AP;;;26;1;;D;4;A;A;18;4;4;5;5;4;
MACAPA;AP;;;21;1;;C;7;A;A;;;;;;;
SANTANA;AP;;;18;1;;B;4;A;A;;;;;;;
MACAPA;AP;;;20;1;;C;3;A;A;18;4;5;5;3;4;
MACAPA;AP;;;48;1;;B;4;A;A;18;0;0;5;5;5;
MACAPA;AP;;;17;3;;K;7;A;A;;;;;;;
MACAPA;AP;;;33;4;;A;3;A;E;14;5;5;5;5;5;
MACAPA;AP;;;21;1;;C;2;A;A;;;;;;;
MACAPA;AP;;;20;1;;B;6;A;A;;;;;;;
LARANJAL DO JARI;AP;LARANJAL DO JARI;AP;31;2;1;B;4;A;A;18;5;5;5;5;5;
LARANJAL DO JARI;AP;LARANJAL DO JARI;AP;19;2;1;D;6;B;B;;;;;;;
SANTANA;AP;;;20;4;;B;3;A;A;17;4;5;5;5;5;
SANTANA;AP;;;25;1;;B;2;A;A;18;0;0;5;5;2;
MACAPA;AP;;;26;1;;F;4;A;A;16;5;2;5;3;5;
MACAPA;AP;;;16;3;;L;6;A;A;;;;;;;
MACAPA;AP;;;21;1;;B;3;A;A;20;5;0;5;5;5;
MACAPA;AP;MACAPA;AP;19;2;1;B;7;B;A;19;5;2;5;5;5;
CALCOENE;AP;;;18;1;;B;6;A;A;;;;;;;
SANTANA;AP;;;24;1;;B;7;B;A;;;;;;;
MACAPA;AP;;;29;1;;B;8;B;A;;;;;;;
MACAPA;AP;;;24;1;;B;2;B;A;20;2;5;2;3;5;
SANTANA;AP;;;19;1;;B;8;A;A;;;;;;;
MACAPA;AP;;;18;1;;B;4;A;A;;;;;;;
MACAPA;AP;;;35;1;;D;4;A;E;14;5;5;5;5;5;
MACAPA;AP;MACAPA;AP;17;2;1;C;10;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;18;2;1;B;4;A;A;;;;;;;
MACAPA;AP;;;20;1;;B;3;A;A;;;;;;;
MACAPA;AP;;;17;3;;B;7;A;B;;;;;;;
MACAPA;AP;;;54;1;;B;8;E;B;13;5;5;5;5;5;
SANTANA;AP;;;30;1;;C;9;A;C;22;5;5;4;2;0;
MACAPA;AP;;;19;1;;B;7;A;A;13;5;3;5;5;4;
MACAPA;AP;;;25;1;;C;4;A;A;18;5;1;1;5;5;
MACAPA;AP;;;28;1;;F;5;A;A;19;5;4;5;5;5;
MACAPA;AP;;;16;3;;B;3;A;A;14;1;0;1;1;1;
MACAPA;AP;;;18;1;;C;7;A;A;;;;;;;
SANTANA;AP;;;21;1;;C;6;A;A;13;5;5;5;5;5;
SANTANA;AP;;;20;1;;A;4;A;A;18;5;0;3;5;5;
SANTANA;AP;;;22;1;;B;2;A;A;19;5;5;5;5;5;
MACAPA;AP;;;25;1;;C;2;A;A;18;0;5;3;5;3;
MACAPA;AP;;;23;1;;B;3;A;C;16;5;5;5;5;5;
LARANJAL DO JARI;AP;;;21;1;;B;6;A;A;19;5;0;5;5;5;
MACAPA;AP;;;35;1;;K;2;A;A;20;1;5;5;5;5;
MACAPA;AP;;;27;1;;C;3;A;B;16;3;5;5;5;0;
SANTANA;AP;;;47;1;;C;13;A;A;13;5;5;5;5;5;
MACAPA;AP;MACAPA;AP;19;2;1;B;8;A;A;;;;;;;
MACAPA;AP;;;21;1;;B;2;A;A;17;4;3;0;5;0;
MACAPA;AP;;;33;4;;B;3;C;B;23;5;5;5;5;5;
MACAPA;AP;;;37;1;;B;5;B;B;14;5;5;5;5;5;
MACAPA;AP;;;18;1;;B;16;A;A;16;5;3;5;5;0;
MACAPA;AP;;;19;1;;B;3;A;A;;;;;;;
OIAPOQUE;AP;;;27;4;;B;4;E;E;13;0;5;5;5;5;
