NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
ARIQUEMES;RO;;;19;1;;H;3;A;A;19;0;0;5;5;0;
CACOAL;RO;;;22;1;;B;2;A;B;16;0;5;5;4;5;
NOVA MAMORE;RO;;;21;1;;B;7;B;A;20;5;5;5;5;5;
PORTO VELHO;RO;PORTO VELHO;RO;19;2;1;C;4;A;A;;;;;;;
PORTO VELHO;RO;;;21;1;;D;5;A;A;18;5;0;4;5;3;
PORTO VELHO;RO;;;45;1;;G;4;A;A;19;5;5;3;4;4;
PORTO VELHO;RO;;;41;1;;G;4;A;D;14;3;5;5;3;4;
PORTO VELHO;RO;;;16;3;;J;6;A;A;;;;;;;
CACOAL;RO;;;39;1;;B;3;E;B;16;2;5;5;5;5;
ROLIM DE MOURA;RO;ROLIM DE MOURA;RO;18;2;1;B;3;B;A;;;;;;;
PORTO VELHO;RO;;;50;1;;K;3;A;A;18;2;5;5;5;5;
VILHENA;RO;;;26;1;;C;3;A;C;14;5;0;1;2;5;
CACOAL;RO;;;24;1;;C;3;E;A;22;5;5;5;5;5;
JARU;RO;;;16;3;;B;4;A;A;;;;;;;
GUAJARA-MIRIM;RO;;;24;1;;B;2;A;A;18;5;5;5;5;5;
PRESIDENTE MEDICI;RO;;;44;4;;A;4;A;E;14;0;5;5;5;5;
SAO FELIPE D OESTE;RO;;;23;1;;C;3;A;A;19;4;4;5;4;2;
PORTO VELHO;RO;;;17;3;;D;4;A;A;14;0;0;0;5;0;
PORTO VELHO;RO;;;17;3;;E;6;A;A;;;;;;;
ALVORADA D OESTE;RO;;;29;1;;B;1;C;A;19;3;0;5;5;5;
BURITIS;RO;;;28;1;;D;4;A;A;16;4;5;3;1;3;
GUAJARA-MIRIM;RO;;;22;1;;E;5;A;C;16;5;5;5;5;5;
CACOAL;RO;;;15;3;;C;3;A;A;;;;;;;
ROLIM DE MOURA;RO;;;31;1;;F;1;A;A;14;0;0;5;3;5;
PORTO VELHO;RO;;;22;1;;D;3;A;A;17;5;0;5;5;5;
CACOAL;RO;;;35;1;;E;4;A;A;18;3;5;5;5;3;
CABIXI;RO;;;32;1;;C;4;E;E;25;0;5;5;5;0;
PORTO VELHO;RO;;;22;4;;E;4;A;C;20;5;0;5;5;5;
PORTO VELHO;RO;;;30;1;;F;8;A;A;21;3;3;5;5;4;
GUAJARA-MIRIM;RO;;;28;1;;I;6;A;A;17;4;2;5;4;4;
