NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
BOA VISTA;RR;;;31;1;;B;2;A;B;18;5;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;21;2;1;C;7;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;19;3;;E;5;A;A;;;;;;;
BOA VISTA;RR;;;22;1;;B;3;A;B;18;1;5;5;5;1;
BOA VISTA;RR;;;21;1;;B;5;A;A;16;4;0;5;5;5;
BOA VISTA;RR;;;19;1;;B;5;A;A;;;;;;;
BOA VISTA;RR;;;32;1;;B;8;A;A;14;1;5;5;5;5;
BOA VISTA;RR;;;37;1;;B;8;A;A;15;4;4;4;5;4;
BOA VISTA;RR;BOA VISTA;RR;16;2;2;H;6;A;A;;;;;;;
BOA VISTA;RR;;;19;1;;A;2;A;A;;;;;;;
BOA VISTA;RR;;;46;4;;B;2;C;A;16;0;5;5;2;0;
BOA VISTA;RR;;;47;1;;D;3;E;A;18;5;5;5;5;5;
BOA VISTA;RR;;;25;1;;D;4;A;A;18;3;2;5;5;4;
BOA VISTA;RR;;;20;1;;B;5;A;A;16;5;5;5;5;5;
BOA VISTA;RR;;;43;3;;B;3;E;A;14;1;1;5;0;0;
BOA VISTA;RR;;;21;1;;B;6;A;A;18;5;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;20;2;1;B;7;A;C;14;5;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;29;2;1;B;4;E;A;15;3;2;2;5;1;
BOA VISTA;RR;;;19;3;;A;5;A;A;;;;;;;
BOA VISTA;RR;;;23;1;;B;4;A;A;18;2;0;5;5;5;
BOA VISTA;RR;;;26;1;;C;2;A;A;18;0;5;5;5;0;
BOA VISTA;RR;;;17;3;;C;4;B;A;15;5;0;5;5;2;
BOA VISTA;RR;;;20;1;;B;6;A;A;;;;;;;
BOA VISTA;RR;;;36;1;;B;3;A;A;18;5;5;5;5;5;
RORAINOPOLIS;RR;RORAINOPOLIS;RR;24;2;1;B;12;D;B;20;5;5;5;4;5;
BOA VISTA;RR;;;22;1;;B;3;C;A;18;5;5;5;5;5;
BOA VISTA;RR;;;21;1;;A;3;A;B;18;3;5;5;5;5;
CANTA;RR;;;20;1;;C;6;A;A;;;;;;;
BOA VISTA;RR;;;17;3;;F;3;A;A;16;5;0;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;45;2;1;B;5;B;B;17;5;5;5;5;5;
BOA VISTA;RR;;;35;1;;C;4;A;A;17;2;2;2;2;2;
BOA VISTA;RR;;;29;1;;D;4;A;A;18;0;5;5;5;5;
BOA VISTA;RR;;;16;3;;C;4;A;A;;;;;;;
BOA VISTA;RR;;;32;1;;B;2;A;A;17;5;5;5;5;5;
BOA VISTA;RR;;;16;3;;E;4;A;A;;;;;;;
BOA VISTA;RR;;;18;1;;C;2;A;A;13;5;4;5;5;5;
BOA VISTA;RR;;;19;4;;B;8;A;B;18;5;0;5;5;5;
BOA VISTA;RR;;;16;3;;A;4;A;A;;;;;;;
BOA VISTA;RR;;;23;1;;B;3;A;B;;;;;;;
BOA VISTA;RR;;;32;1;;B;6;A;A;18;5;0;5;5;0;
BOA VISTA;RR;;;27;1;;B;4;A;A;15;2;4;5;5;2;
BOA VISTA;RR;;;44;1;;B;5;D;A;18;5;0;5;5;2;
BOA VISTA;RR;;;49;1;;D;3;E;E;13;5;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;I;3;B;A;;;;;;;
BOA VISTA;RR;;;18;3;;C;4;A;A;15;0;0;0;1;1;
BOA VISTA;RR;;;20;1;;B;11;A;A;18;5;0;5;5;5;
BOA VISTA;RR;;;15;3;;E;5;A;A;;;;;;;
BOA VISTA;RR;;;42;1;;C;4;B;A;19;0;5;5;4;1;
BOA VISTA;RR;;;15;3;;B;4;A;A;;;;;;;
BOA VISTA;RR;;;23;1;;B;5;A;A;18;4;0;5;5;3;
BOA VISTA;RR;;;15;3;;B;4;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;17;2;2;G;4;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;C;4;A;A;16;5;0;4;5;5;
BOA VISTA;RR;;;27;1;;C;4;A;B;16;4;4;5;5;4;
BOA VISTA;RR;;;16;3;;C;4;A;A;;;;;;;
BOA VISTA;RR;;;31;1;;G;2;A;A;18;1;4;5;5;5;
BOA VISTA;RR;;;24;1;;A;3;A;A;14;3;5;5;5;5;
BOA VISTA;RR;;;42;1;;G;5;A;A;25;1;2;0;0;0;
BOA VISTA;RR;;;26;1;;B;4;A;B;20;5;5;5;5;5;
ALTO ALEGRE;RR;ALTO ALEGRE;RR;19;2;1;B;6;A;A;;;;;;;
CANTA;RR;CANTA;RR;19;2;1;C;9;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;23;2;2;C;4;A;D;18;5;4;5;4;4;
BONFIM;RR;BONFIM;RR;18;2;1;C;4;A;A;;;;;;;
BOA VISTA;RR;;;32;1;;J;7;A;A;20;5;5;5;5;5;
NORMANDIA;RR;;;19;1;;B;6;A;A;17;5;3;5;5;5;
BOA VISTA;RR;;;19;1;;B;5;A;A;;;;;;;
BOA VISTA;RR;;;29;1;;C;3;A;A;18;5;4;5;5;5;
BOA VISTA;RR;;;17;3;;B;6;B;A;;;;;;;
CANTA;RR;;;23;1;;B;2;A;A;19;5;5;5;5;5;
BOA VISTA;RR;;;16;3;;B;6;A;A;;;;;;;
BOA VISTA;RR;;;38;1;;B;6;A;B;13;4;2;5;5;5;
BOA VISTA;RR;;;18;1;;B;5;A;A;;;;;;;
BOA VISTA;RR;;;24;1;;B;3;A;C;16;2;5;5;5;5;
BOA VISTA;RR;;;27;1;;D;5;A;A;18;5;5;5;5;5;
BOA VISTA;RR;;;25;1;;B;4;A;A;22;5;0;5;5;5;
BOA VISTA;RR;;;35;1;;F;5;A;A;21;0;5;5;5;0;
CARACARAI;RR;;;18;1;;B;4;A;A;;;;;;;
BOA VISTA;RR;;;20;1;;B;4;A;A;18;5;0;5;5;5;
BOA VISTA;RR;;;51;4;;E;4;A;E;;;;;;;
BOA VISTA;RR;;;17;1;;E;5;A;A;;;;;;;
BOA VISTA;RR;;;30;1;;C;4;A;A;13;4;5;4;5;4;
BOA VISTA;RR;;;20;1;;B;2;A;A;16;1;5;5;3;5;
BOA VISTA;RR;;;16;3;;H;5;A;A;;;;;;;
BOA VISTA;RR;;;32;1;;C;4;A;A;18;5;5;5;5;5;
BOA VISTA;RR;;;58;1;;D;3;A;E;16;0;5;0;0;0;
AMAJARI;RR;;;15;3;;B;8;A;A;13;3;3;3;3;3;
BOA VISTA;RR;;;18;1;;B;5;A;A;15;5;5;5;5;5;
BOA VISTA;RR;;;16;3;;B;5;A;A;;;;;;;
BOA VISTA;RR;;;39;1;;H;4;A;A;16;5;4;3;5;4;
RORAINOPOLIS;RR;RORAINOPOLIS;RR;19;2;1;B;6;A;A;;;;;;;
BOA VISTA;RR;;;17;3;;D;5;A;A;;;;;;;
BOA VISTA;RR;;;26;1;;B;5;A;A;;;;;;;
BOA VISTA;RR;;;36;1;;C;4;E;E;24;4;4;4;4;4;
BOA VISTA;RR;;;24;1;;B;5;A;A;19;5;5;5;5;5;
BOA VISTA;RR;;;35;1;;D;4;A;A;18;3;4;5;4;4;
BOA VISTA;RR;BOA VISTA;RR;17;2;1;C;5;A;A;;;;;;;
PACARAIMA;RR;;;16;3;;D;2;A;A;;;;;;;
BOA VISTA;RR;;;17;3;;B;4;A;A;;;;;;;
BOA VISTA;RR;;;25;1;;A;10;A;A;15;5;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;B;5;A;A;18;5;0;5;5;0;
BOA VISTA;RR;;;20;1;;C;5;A;A;;;;;;;
BOA VISTA;RR;;;21;1;;C;5;A;A;19;5;5;5;5;5;
BOA VISTA;RR;;;35;1;;A;4;A;A;18;0;5;5;5;5;
BOA VISTA;RR;;;22;1;;B;4;A;A;18;5;0;5;5;5;
BOA VISTA;RR;;;38;1;;B;4;C;C;18;0;5;3;1;1;
BOA VISTA;RR;;;23;1;;B;3;A;A;16;5;5;5;5;5;
BOA VISTA;RR;;;18;1;;B;6;A;A;14;5;2;5;5;2;
BOA VISTA;RR;BOA VISTA;RR;18;2;1;B;6;A;A;;;;;;;
PACARAIMA;RR;;;17;3;;C;5;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;C;3;A;A;;;;;;;
BOA VISTA;RR;;;38;4;;D;2;A;E;18;5;2;5;5;5;
BOA VISTA;RR;;;22;1;;A;4;A;A;18;1;0;1;1;1;
BOA VISTA;RR;;;17;3;;B;9;B;A;15;3;1;5;5;4;
BOA VISTA;RR;;;42;1;;F;3;A;A;20;5;5;5;5;5;
CAROEBE;RR;;;24;1;;C;8;A;A;;;;;;;
BOA VISTA;RR;;;20;1;;A;6;A;A;;;;;;;
BOA VISTA;RR;;;39;1;;B;6;B;E;;;;;;;
BOA VISTA;RR;;;27;1;;B;2;A;A;20;0;5;5;5;0;
RORAINOPOLIS;RR;RORAINOPOLIS;RR;17;2;1;B;8;A;A;;;;;;;
BOA VISTA;RR;;;34;1;;B;5;B;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;18;2;2;B;5;A;A;17;5;0;4;5;5;
BOA VISTA;RR;;;35;1;;C;5;A;A;17;3;5;5;5;5;
BOA VISTA;RR;;;35;1;;B;3;A;A;15;0;5;2;1;0;
BOA VISTA;RR;;;21;1;;C;4;A;A;17;5;5;5;5;5;
BOA VISTA;RR;;;24;1;;C;7;A;A;18;4;0;4;5;5;
BOA VISTA;RR;BOA VISTA;RR;17;2;1;B;4;A;A;;;;;;;
MUCAJAI;RR;;;16;3;;B;4;A;A;;;;;;;
BOA VISTA;RR;;;16;3;;B;4;A;A;;;;;;;
BOA VISTA;RR;;;23;1;;B;3;A;A;15;0;5;5;5;5;
BOA VISTA;RR;;;24;1;;B;6;A;A;18;0;5;5;5;5;
BOA VISTA;RR;;;30;3;;C;4;B;E;15;5;5;5;5;5;
RORAINOPOLIS;RR;;;17;3;;B;7;A;A;;;;;;;
BOA VISTA;RR;;;17;3;;B;6;A;A;;;;;;;
BOA VISTA;RR;;;22;1;;C;5;A;A;18;5;5;5;5;5;
BONFIM;RR;;;20;1;;C;3;A;A;18;5;0;4;4;5;
BOA VISTA;RR;;;20;1;;C;6;A;A;16;5;0;5;5;5;
BOA VISTA;RR;;;20;1;;B;2;A;A;18;0;3;4;4;3;
BOA VISTA;RR;;;30;1;;A;1;B;A;20;0;5;5;5;5;
BOA VISTA;RR;;;21;1;;G;8;A;A;;;;;;;
BOA VISTA;RR;;;29;4;;C;4;E;E;20;5;5;5;5;5;
BOA VISTA;RR;;;42;1;;E;5;A;E;19;0;5;5;5;5;
BOA VISTA;RR;;;19;1;;C;9;A;A;18;3;0;3;3;3;
BOA VISTA;RR;;;20;1;;C;5;A;A;18;1;1;1;1;1;
BOA VISTA;RR;;;18;4;;B;3;A;C;14;5;0;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;B;3;A;A;16;3;0;3;3;5;
BOA VISTA;RR;;;21;1;;B;6;A;B;19;5;0;5;5;5;
BOA VISTA;RR;;;24;4;;C;4;D;C;20;5;3;5;5;5;
BOA VISTA;RR;;;18;1;;C;4;A;A;;;;;;;
BOA VISTA;RR;;;19;1;;C;3;A;A;18;5;2;5;5;5;
SAO JOAO DA BALIZA;RR;SAO JOAO DA BALIZA;RR;19;2;1;B;7;A;A;;;;;;;
BOA VISTA;RR;;;26;1;;D;5;A;B;16;1;1;1;1;1;
BOA VISTA;RR;;;29;4;;B;5;A;E;21;5;5;5;5;5;
BOA VISTA;RR;;;21;1;;B;6;A;A;;;;;;;
BOA VISTA;RR;;;19;1;;F;3;A;A;;;;;;;
BOA VISTA;RR;;;16;3;;C;4;A;A;;;;;;;
BOA VISTA;RR;;;52;1;;B;4;E;A;16;5;5;5;5;3;
BOA VISTA;RR;;;21;1;;B;4;A;A;18;5;5;5;5;5;
BOA VISTA;RR;;;21;1;;B;2;A;A;;;;;;;
BOA VISTA;RR;;;21;4;;C;9;A;C;17;3;2;4;3;3;
BOA VISTA;RR;PACARAIMA;RR;27;2;1;B;3;E;B;15;5;5;5;5;5;
BOA VISTA;RR;;;37;1;;C;5;D;A;17;5;5;5;5;5;
BOA VISTA;RR;;;24;1;;B;4;A;A;20;0;5;5;5;5;
BOA VISTA;RR;;;20;1;;D;6;A;A;;;;;;;
BOA VISTA;RR;;;47;1;;C;3;A;A;13;0;5;5;5;5;
BOA VISTA;RR;;;29;1;;B;4;A;A;23;1;1;5;5;3;
BOA VISTA;RR;;;20;1;;C;8;A;A;18;5;0;5;5;0;
BOA VISTA;RR;;;16;3;;D;8;A;A;;;;;;;
BOA VISTA;RR;;;26;1;;G;2;A;A;18;4;5;5;5;5;
BOA VISTA;RR;;;30;1;;B;1;A;A;13;4;0;5;3;4;
BOA VISTA;RR;;;20;1;;B;5;A;A;16;5;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;17;2;1;H;5;A;A;;;;;;;
BOA VISTA;RR;;;20;4;;C;3;B;B;15;5;0;5;5;3;
BONFIM;RR;;;25;1;;B;3;A;A;17;2;1;5;5;5;
CARACARAI;RR;;;24;1;;C;5;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;G;3;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;34;2;1;B;3;C;D;14;5;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;B;3;A;B;17;0;2;5;3;0;
BOA VISTA;RR;;;40;1;;B;5;E;D;25;5;5;5;5;5;
BOA VISTA;RR;;;39;1;;B;3;A;E;19;1;5;5;2;4;
BOA VISTA;RR;;;37;1;;F;10;C;A;25;5;5;5;5;5;
BOA VISTA;RR;;;23;1;;B;9;A;B;17;5;5;5;5;5;
PACARAIMA;RR;;;24;1;;C;4;A;A;;;;;;;
BOA VISTA;RR;;;22;1;;C;5;A;A;17;5;0;5;5;5;
