NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
PALMAS;TO;;;18;3;;B;4;A;A;15;5;0;5;5;5;
ARAGUAINA;TO;;;46;1;;H;3;A;A;15;1;5;1;1;5;
PALMAS;TO;;;15;3;;B;5;A;A;;;;;;;
ARAGUAINA;TO;;;26;1;;E;3;A;B;21;1;5;5;5;5;
PALMAS;TO;;;44;1;;D;2;E;A;13;5;5;5;5;5;
PALMAS;TO;;;18;1;;N;4;A;A;;;;;;;
PALMAS;TO;;;18;1;;G;4;A;A;18;5;0;5;5;4;
ARAGUATINS;TO;;;17;3;;E;6;A;A;;;;;;;
PALMAS;TO;;;18;3;;E;5;A;A;17;4;0;4;4;5;
PORTO NACIONAL;TO;;;23;4;;C;4;B;C;17;4;0;3;4;2;
MIRANORTE;TO;MIRANORTE;TO;31;2;1;B;5;E;A;13;5;3;5;5;5;
PALMAS;TO;;;16;3;;H;4;A;A;;;;;;;
PORTO NACIONAL;TO;;;20;1;;F;4;A;A;16;3;0;5;5;0;
PALMAS;TO;;;24;1;;B;3;A;B;14;5;5;5;5;5;
TOCANTINOPOLIS;TO;TOCANTINOPOLIS;TO;28;2;1;C;4;A;E;19;5;5;5;5;5;
PALMAS;TO;;;50;4;;B;5;A;E;;;;;;;
PORTO NACIONAL;TO;;;29;1;;C;3;B;A;16;5;5;2;4;4;
ARAGUAINA;TO;;;20;1;;C;5;A;A;16;5;1;4;5;5;
ARAGUAINA;TO;;;29;1;;C;6;A;A;22;5;5;5;5;5;
ALMAS;TO;ALMAS;TO;19;2;1;B;6;A;A;18;5;0;5;5;1;
ARAGUAINA;TO;;;27;1;;D;5;A;A;14;4;4;5;5;5;
NOVA ROSALANDIA;TO;;;20;1;;H;3;A;A;;;;;;;
NOVA ROSALANDIA;TO;;;18;3;;B;5;A;A;;;;;;;
LAVANDEIRA;TO;;;18;1;;C;4;A;A;;;;;;;
PARAISO DO TOCANTINS;TO;;;19;1;;B;3;A;A;;;;;;;
PORTO NACIONAL;TO;;;31;1;;C;7;A;A;21;5;5;5;5;5;
ARAGUAINA;TO;;;31;4;;C;4;D;A;18;5;5;4;5;5;
GURUPI;TO;;;20;1;;G;4;A;A;18;4;3;4;5;5;
FORMOSO DO ARAGUAIA;TO;FORMOSO DO ARAGUAIA;TO;18;2;1;C;4;A;A;;;;;;;
GURUPI;TO;GURUPI;TO;20;2;1;B;5;A;A;15;5;0;5;5;5;
PALMAS;TO;;;25;1;;A;4;A;A;16;5;5;5;5;5;
PALMAS;TO;;;14;3;;I;4;A;A;;;;;;;
PALMAS;TO;;;20;3;;A;5;A;A;;;;;;;
MIRACEMA DO TOCANTINS;TO;;;21;4;;G;4;B;A;21;1;2;2;3;3;
ITAGUATINS;TO;;;20;1;;B;5;A;A;17;5;5;5;5;5;
ARAGUAINA;TO;ARAGUAINA;TO;17;2;2;N;6;A;A;;;;;;;
PALMAS;TO;;;27;1;;B;2;A;A;14;5;5;5;5;5;
ARAGUAINA;TO;;;36;4;;B;2;E;A;22;5;4;1;4;5;
PALMAS;TO;;;28;1;;B;3;A;B;16;5;5;5;5;5;
PALMAS;TO;;;30;1;;C;4;C;C;13;3;5;5;5;3;
